year,Frauenfussball,Herrenfussball,Total,Frauen_Anteil
2007,2,3745,3747,0.0005
2008,0,5108,5108,0.0
2009,5,26776,26781,0.0002
2010,6,25658,25664,0.0002
2011,7,22789,22796,0.0003
2012,5,22717,22722,0.0002
2013,5,22811,22816,0.0002
2014,11,24331,24342,0.0005
2015,21,21519,21540,0.001
2016,25,23190,23215,0.0011
2017,61,23019,23080,0.0026
2018,57,23379,23436,0.0024
2019,594,20584,21178,0.028
2020,75,17994,18069,0.0042
2021,89,23239,23328,0.0038
2022,324,16624,16948,0.0191
2023,422,12466,12888,0.0327
2024,102,10867,10969,0.0093
2025,201,12855,13056,0.0154
